dimension_code,value,value_desc
operatingIndustryLevel1NotConsistent,汽车,汽车行业
operatingIndustryLevel1NotConsistent,保险,保险行业
operatingIndustryLevel1NotConsistent,电商,电商行业
operatingIndustryLevel1NotConsistent,教育,教育行业
operatingIndustryLevel1NotConsistent,游戏,游戏行业
operatingIndustryLevel2NotConsistent,新能源汽车,新能源汽车
operatingIndustryLevel2NotConsistent,传统汽车,传统汽车
operatingIndustryLevel2NotConsistent,车险,车险
operatingIndustryLevel2NotConsistent,寿险,寿险
operatingIndustryLevel2NotConsistent,综合电商,综合电商
priceType,CPM,按千次展现计费
priceType,oCPC,优化点击计费
priceType,CPT,按曝光时长计费
priceType,CPC,按点击计费
priceType,CPA,按转化计费
priceType,CPD,按点击计费
mediaName,华为浏览器,华为浏览器媒体（与HUAWEI Browser为同一媒体的不同命名，数据需同时查询这两个值）
mediaName,HUAWEI Browser,华为浏览器（英文）（与华为浏览器为同一媒体的不同命名，数据需同时查询这两个值）
mediaName,华为视频,华为视频媒体
mediaName,华为音乐,华为音乐媒体
mediaName,华为阅读,华为阅读媒体
adGroupStatus,运行中,任务运行中
adGroupStatus,已暂停,任务已暂停
adGroupStatus,已结束,任务已结束
adGroupStatus,待审核,任务待审核
corpId,corp_001,广告主001
corpId,corp_002,广告主002
corpId,corp_003,广告主003
mediaType,视频,视频媒体
mediaType,资讯,资讯媒体
mediaType,音乐,音乐媒体
mediaType,阅读,阅读媒体
slotForm,信息流,信息流展示形式
slotForm,横幅,横幅展示形式
slotForm,插屏,插屏展示形式
slotForm,开屏,开屏展示形式
corpName,问界汽车广告主,问界汽车广告主
corpName,元保保险广告主,元保保险广告主
corpName,某电商广告主,某电商广告主
adGroupId,adgroup_001,任务ID 001
adGroupId,adgroup_002,任务ID 002
adGroupId,adgroup_003,任务ID 003
dspName,华为DSP,华为DSP平台
dspName,第三方DSP_A,第三方DSP平台A
dspName,第三方DSP_B,第三方DSP平台B
shallowEffectType,下载,应用下载
shallowEffectType,注册,用户注册
shallowEffectType,表单提交,表单提交
shallowEffectType,咨询,在线咨询
reqDay,2026/3/1,2026年3月1日
reqDay,2026/3/2,2026年3月2日
reqDay,2026/3/3,2026年3月3日
gameMonetizeType,重度游戏,重度游戏
gameMonetizeType,中度游戏,中度游戏
gameMonetizeType,轻度游戏,轻度游戏
deepEffectType,付费,用户付费
deepEffectType,次留,次日留存
deepEffectType,购买,完成购买
deepEffectType,激活,应用激活
algModeTag,oCPC,oCPC算法模型
algModeTag,oCPM,oCPM算法模型
algModeTag,智能出价,智能出价模型
appFirstIndustryClass,视频,视频类应用
appFirstIndustryClass,资讯,资讯类应用
appFirstIndustryClass,游戏,游戏类应用
appFirstIndustryClass,工具,工具类应用
appSecondIndustryClass,短视频,短视频应用
appSecondIndustryClass,长视频,长视频应用
appSecondIndustryClass,新闻资讯,新闻资讯应用
appSecondIndustryClass,休闲游戏,休闲游戏应用
hour,0,0点
hour,1,1点
hour,8,8点
hour,12,12点
hour,18,18点
hour,23,23点
sspName,华为SSP,华为SSP平台
sspName,第三方SSP_A,第三方SSP平台A
sspName,第三方SSP_B,第三方SSP平台B
campaignId,campaign_001,计划ID 001
campaignId,campaign_002,计划ID 002
campaignId,campaign_003,计划ID 003
promoteAppPkg,com.huawei.aito,问界应用包名
promoteAppPkg,com.yuanbao.insurance,元保保险包名
promoteAppPkg,com.example.ecommerce,电商应用包名
mediaAppName,华为浏览器,华为浏览器应用
mediaAppName,华为视频,华为视频应用
mediaAppName,华为音乐,华为音乐应用
appSecondClassName,汽车资讯,汽车资讯分类
appSecondClassName,汽车评测,汽车评测分类
appSecondClassName,汽车报价,汽车报价分类
