metric_code,metric_name,metric_desc,category_level1,category_level2,supported_dimensions,metric_aliases,indicator_id,decimal_places
cost,流水,"指标定义：指广告主在平台内消耗的虚拟货币或真实货币总额。
业务意义：衡量平台营收能力的核心指标，反映了广告主对平台的预算投入规模。",成本指标,指标定义：成本指标，是广告投放过程中的重要业务指标。 业务意义：用于衡量和评估广告投放效果，支持业务决策和优化分析。,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","广告主流水,流水，广告流水，广告收入",e2c14da875cf415bb683fd9f1d9b82cd,8
click,点击量,指标定义：点击量，指用户对广告进行点击操作的总次数。 业务意义：衡量用户对广告的兴趣和互动程度，是转化漏斗的重要环节。,基础指标,点击相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","应收点击数,点击量",d1d0b0dde8254f27b67661a3811e8ef4,8
exposureRate,曝光率,指标定义：曝光率，指广告内容被展示给用户的次数。 业务意义：衡量广告投放触达范围的基础指标，是漏斗模型的最顶层数据。,转化指标,转化率相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","展示率(应收曝光/返回个数),曝光率",f83e35a73c7a46fb9a2612a93e20ce8f,8
clickRate,点击率,指标定义：点击率，指广告点击次数与曝光次数的比率。 业务意义：衡量广告素材吸引力和用户点击意愿的关键指标，是评估广告效果的重要依据。,转化指标,转化率相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","CTR(应收),点击率",198bea4527ab4333a21af8d7b945761c,8
cvr,CVR,指标定义：CVR，是广告投放过程中的重要业务指标。 业务意义：用于衡量和评估广告投放效果，支持业务决策和优化分析。,转化指标,转化率相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm",CVR,eccd34e901254f3db76018ac8bd23697,8
pctrBias,pctr bias,指标定义：pctr bias，指预估数值与实际数值之间的偏差程度。 业务意义：衡量算法模型预估准确性的指标，用于模型优化和效果评估。,转化指标,转化率相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","pCTR bias,pctr bias",d7cafc60b6884911b97bf6a27d696d99,8
pcvrBias,pcvr bias,指标定义：pcvr bias，指预估数值与实际数值之间的偏差程度。 业务意义：衡量算法模型预估准确性的指标，用于模型优化和效果评估。,转化指标,转化率相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","pCVR bias(点击),pcvr bias",414e2804e74b446abdb9c9b417cd72df,8
exposure,曝光,"指标定义：指广告内容在终端设备（如App、网页）上被加载并展示给用户的次数。
业务意义：衡量广告投放的触达范围（Reach），是漏斗模型的最顶层数据，直接影响后续的点击与转化。",基础指标,指标定义：基础指标，是广告投放过程中的重要业务指标。 业务意义：用于衡量和评估广告投放效果，支持业务决策和优化分析。,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","应收曝光次数,曝光",0866a5ef3bb444f4b90b73736b2c1b97,8
cpm,CPM,"指标定义：千次展示成本，即广告每获得 1,000 次曝光所产生的平均费用。
业务意义：衡量流量竞争激烈程度及媒体变现效率。对广告主而言是成本指标，对平台而言是流量单价。",其他指标,指标定义：其他指标，是广告投放过程中的重要业务指标。 业务意义：用于衡量和评估广告投放效果，支持业务决策和优化分析。,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm",CPM,7840fb8d338346b7b9ce33a45781b4e6,8
ecpm,ecpm,指标定义：ecpm，指每千次展示的有效收益。 业务意义：衡量广告流量变现效率的核心指标，是广告主出价广告的预估收益。,成本指标,成本相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","DSP原始出价ECPM,ecpm",a0104f7fd9e04b7c9c8cfc12acd4ab32,8
